sample,reference
BD55-4382-0_lib2,ref14-16
BD55-4382-1_NNSlib2,ref17-20
BD55-63-0_NNSmerged,ref37-40
BD55-63-1_libmerged,ref41-44
BD55-64-0_lib2,ref33-36
BD55-64-1_NNSmerged,ref37-40
BG1-24-0_lib2,ref29-32
BG7-20-0_lib1,ref21-24
BG7-20-1_lib2,ref29-32
C083-0_lib1,ref21-24
C083-1_NNSmerged,ref37-40
C105-0_lib1,ref21-24
C110-0_lib2,ref29-32
C1A-B12-0_NNSlib1,ref10-10
C1A-B12-1_NNSlib2,ref11-11
C1A-B3-0_lib1,ref8-8
C1A-B3-1_lib2,ref9-9
C1A-C2-0_lib1,ref8-8
C1A-C2-1_lib2,ref9-9
C1A-F10-0_lib1,ref8-8
C1A-F10-1_lib2,ref9-9
C591-0_lib1,ref21-24
C591-1_libmerged,ref41-44
CB6-0_lib1,ref7-7
CB6-1_lib1,ref7-7
CC12.1-0_NNSlib1,ref10-10
CC12.1-1_NNSlib2,ref11-11
CC12.3-0_NNSlib1,ref10-10
CC12.3-1_NNSlib2,ref11-11
CM32-0_lib1,ref21-24
CM32-1_libmerged,ref41-44
COV2-2064-0_libmerged,ref41-44
COV2-2064-1_libmerged,ref41-44
COV2-2504-0_libmerged,ref41-44
COV2-2539-0_lib1,ref21-24
COV2-2539-1_NNSmerged,ref37-40
COV2-2780-0_lib1,ref21-24
COV2-2807-0_lib1,ref21-24
COV2-2807-1_libmerged,ref41-44
COV2-2941-0_libmerged,ref41-44
COV2-2941-1_libmerged,ref41-44
COVA2-39-0_lib2,ref33-36
COVA2-39-1_libmerged,ref41-44
COVOX-316-0_NNSlib1,ref10-10
COVOX-316-1_NNSlib2,ref11-11
COVOX-384-0_NNSlib1,ref10-10
COVOX-384-1_NNSlib2,ref11-11
CV05-163-0_libmerged,ref41-44
CV07-255-0_lib1,ref21-24
CV07-255-1_libmerged,ref41-44
DH1154-0_lib1,ref21-24
DH1154-1_NNSmerged,ref37-40
DH1160-0_libmerged,ref41-44
DH1160-1_libmerged,ref41-44
DH1173-0_lib1,ref21-24
DH1173-1_libmerged,ref41-44
DH1179-0_lib1,ref21-24
DH1179-1_libmerged,ref41-44
DH1184-0_libmerged,ref41-44
DH1210-0_libmerged,ref41-44
DH1210-1_libmerged,ref41-44
H4-0_lib1,ref21-24
LY-CoV481-0_NNSlib1,ref10-10
LY-CoV481-1_NNSlib2,ref11-11
LY-CoV488-0_NNSlib1,ref10-10
LY-CoV488-1_NNSlib2,ref11-11
P2B-1A10-0_lib1,ref21-24
P2B-1A10-1_libmerged,ref41-44
P2B-2F6-0_lib2,ref9-9
P2B-2F6-1_NNSmerged,ref25-28
P2C-1A3-0_lib2,ref33-36
P2C-1A3-1_lib2,ref33-36
P4A1-0_lib1,ref8-8
P4A1-1_lib2,ref9-9
P5A-3A1-0_lib1,ref21-24
P5A-3A1-1_libmerged,ref41-44
S2H13-0_lib1,ref21-24
S2H13-1_libmerged,ref41-44
S2M11-0_lib1,ref21-24
B38-0_lib1,ref8-8
B38-1_lib2,ref9-9
BD30-236-0_libmerged,ref41-44
BD30-498-0_libmerged,ref41-44
BD30-498-1_libmerged,ref41-44
BD30-500-0_libmerged,ref41-44
BD30-500-1_libmerged,ref41-44
BD30-508-0_lib2,ref29-32
BD30-598-0_libmerged,ref41-44
BD30-598-1_libmerged,ref41-44
BD30-599-0_libmerged,ref41-44
BD30-599-1_libmerged,ref41-44
BD30-605-0_libmerged,ref41-44
BD30-605-1_libmerged,ref41-44
BD30-619-0_libmerged,ref41-44
BD30-619-1_libmerged,ref41-44
BD55-160-0_lib2,ref33-36
BD55-160-1_NNSmerged,ref37-40
BD55-285-0_lib2,ref33-36
BD55-300-0_lib2,ref29-32
C058-0_lib1,ref21-24
C058-1_NNSmerged,ref37-40
C102-0_lib2,ref29-32
C102-1_libmerged,ref41-44
C578-0_lib1,ref21-24
C578-1_NNSmerged,ref37-40
COV2-2113-0_lib1,ref21-24
COV2-2113-1_libmerged,ref41-44
COV2-2391-0_lib1,ref21-24
COV2-2391-1_libmerged,ref41-44
COV2-2479-0_libmerged,ref41-44
COV2-2479-1_libmerged,ref41-44
COV2-2589-0_libmerged,ref41-44
COV2-2589-1_libmerged,ref41-44
COV2-2919-0_lib1,ref21-24
COV2-2919-1_libmerged,ref41-44
COV2-2955-0_lib1,ref21-24
COV2-2955-1_libmerged,ref41-44
COVOX-269-0_libmerged,ref41-44
COVOX-269-1_libmerged,ref41-44
COVOX-88-0_lib1,ref8-8
CV07-200-0_lib1,ref21-24
CV07-200-1_libmerged,ref41-44
CV07-222-0_lib1,ref21-24
CV07-222-1_libmerged,ref41-44
CV07-262-0_lib1,ref21-24
CV07-262-1_libmerged,ref41-44
CV07-283-0_libmerged,ref41-44
CV07-283-1_libmerged,ref41-44
CV07-315-0_lib1,ref21-24
CV07-315-1_libmerged,ref41-44
DH1041-0_lib1,ref21-24
DH1041-1_NNSmerged,ref37-40
DH1042-0_lib1,ref21-24
DH1043-0_lib1,ref21-24
DH1111-0_lib1,ref21-24
DH1126-0_libmerged,ref41-44
DH1126-1_libmerged,ref41-44
DH1140-0_libmerged,ref41-44
DH1140-1_libmerged,ref41-44
DH1159-2-0_lib1,ref21-24
DH1161-2-0_lib1,ref21-24
DH1186-0_lib1,ref21-24
DH1186-1_NNSmerged,ref37-40
DH1214-0_lib1,ref21-24
DH1214-1_libmerged,ref41-44
Ehling_mAb-64-0_lib1,ref21-24
Ehling_mAb-64-1_libmerged,ref41-44
LY-CoV555-0_lib2,ref1-1
P5A-2G9-0_lib1,ref21-24
P5A-2G9-1_libmerged,ref41-44
BD30-504-0_libmerged,ref41-44
BD30-536-0_lib2,ref29-32
BD30-616-0_lib2,ref29-32
BD30-616-1_NNSmerged,ref37-40
BD30-623-0_libmerged,ref41-44
CV07-270-0_lib1,ref21-24
CV07-270-1_libmerged,ref41-44
BD55-1763-0_NNSlib2,ref17-20
BD55-1763-1_NNSmerged,ref37-40
BD55-234-0_NNSmerged,ref37-40
